pop_idx,regime,rho,beta,N,T,sigma,jaccard,beta,alpha,epsilon,nr_pop,nr_ind
,partial,0.5,0.8,200.0,20.0,0.25,0.02418181818181928,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.01966666666666725,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.01816161616161653,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.0227676767676776,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.018737373737374174,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.025525252525253676,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.021383838383839154,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.0229191919191928,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.022565656565657496,0.8,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00501010101010095,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00462626262626259,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0048383838383837955,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005282828282828218,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00523232323232317,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0049696969696969165,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004727272727272681,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0048484848484847964,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005141414141414073,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005080808080808022,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005262626262626203,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004989898989898936,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005191919191919124,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005040404040403988,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005121212121212063,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00485858585858582,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00533333333333327,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005404040404040335,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005101010101010041,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004989898989898941,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00512121212121206,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004939393939393884,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005565656565656486,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005030303030302972,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00507070707070701,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005181818181818125,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005121212121212063,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004747474747474705,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00496969696969691,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004989898989898935,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005252525252525188,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004949494949494897,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0048787878787878314,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0046666666666666315,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004939393939393886,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004383838383838358,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0048484848484848025,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00475757575757572,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0048383838383837955,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005050505050504992,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005171717171717112,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00514141414141408,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005202020202020143,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004969696969696916,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004848484848484803,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005101010101010043,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004747474747474706,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004979797979797932,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00509090909090903,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0056161616161615364,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0050404040404039814,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005171717171717107,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00489898989898985,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005060606060606008,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005202020202020139,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0050303030303029735,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005090909090909029,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004898989898989848,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004868686868686823,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005080808080808029,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005030303030302974,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004757575757575714,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005030303030302973,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005686868686868601,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005262626262626197,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004767676767676722,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004929292929292874,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005242424242424179,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004717171717171679,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005151515151515089,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004989898989898934,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005090909090909028,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004747474747474698,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005090909090909037,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005525252525252444,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004959595959595912,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004717171717171675,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005202020202020141,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005444444444444376,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0050303030303029735,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00493939393939389,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004878787878787828,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.0045454545454545105,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004818181818181769,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005131313131313068,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005131313131313073,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.00512121212121207,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005454545454545383,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005212121212121148,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005464646464646393,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004929292929292876,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004888888888888839,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005474747474747399,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004898989898989853,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005161616161616107,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004888888888888843,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004898989898989851,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.005181818181818117,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004989898989898945,0.0,0.0,100,,
,partial,0.5,0.0,200.0,20.0,1.0,0.004717171717171677,0.0,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02295959595959681,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02565656565656678,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.022525252525253357,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.026757575757577114,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.03861616161616476,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02861616161616338,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.026969696969698493,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.028010101010102557,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.019696969696970205,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.021292929292929974,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02065656565656629,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02593939393939518,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.020919191919192573,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02012121212121274,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02468686868686977,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.023535353535354523,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.04682828282828724,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.032313131313133514,0.8,0.0,100,,
